全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考,販売日,現在ご使用中のAEDモデル,現在ご使用中のAED形式,現在ご使用中のAED製造番号
35246,,岩手県一戸町,一戸地区センター,,,35246,,岩手県二戸郡一戸町高善寺字大川鉢24-9,岩手県,二戸郡一戸町,高善寺字大川鉢,24-9,,40.212261,141.295548,,,センター（廊下）,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,2008/6/1,HS1,M5066A　2005,A08D-02767
35246,,岩手県一戸町,一戸地区センター,,,35246,,岩手県二戸郡一戸町高善寺字大川鉢24-9,岩手県,二戸郡一戸町,高善寺字大川鉢,24-9,,40.212261,141.295548,,,事務室,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,2008/9/1,HS1,M5066A LITE,A08G-02741
35246,,岩手県一戸町,小鳥谷地区センター,,,35246,,岩手県二戸郡一戸町小鳥谷字中屋敷上12-4,岩手県,二戸郡一戸町,小鳥谷字中屋敷上,12-4,,40.168304,141.305352,,,事務室前,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,,,,
35246,,岩手県一戸町,奥中山地区センター,,,35246,,岩手県二戸郡一戸町中山字大塚82-2,岩手県,二戸郡一戸町,中山字大塚,82-2,,40.065508,141.231838,,,ロビー,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,,,,
35246,,岩手県一戸町,一戸町総合保健福祉センター,,,35246,,岩手県二戸郡一戸町一戸字砂森93-2,岩手県,二戸郡一戸町,一戸字砂森,93-2,,40.20845,141.306555,,,受付前,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,,,,
35246,,岩手県一戸町,御所野縄文博物館,,,35246,,岩手県二戸郡一戸町岩舘字御所野2,岩手県,二戸郡一戸町,岩舘字御所野,2,,40.197525,141.310387,,,受付前,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,,,,
35246,,岩手県一戸町,一戸町武道場,,,35246,,岩手県二戸郡一戸町高善寺字野田54-21,岩手県,二戸郡一戸町,高善寺字野田,54-21,,40.211897,141.296635,,,,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,2014/12/1,HS1,M5066A FC,A14J-04100
35246,,岩手県一戸町,一戸小学校,,,35246,,岩手県二戸郡一戸町一戸字砂森149-13,岩手県,二戸郡一戸町,一戸字砂森,149-13,,40.210922,141.301052,,,,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,,,,
35246,,岩手県一戸町,一戸南小学校,,,35246,,岩手県二戸郡一戸町西法寺字関屋62-1,岩手県,二戸郡一戸町,西法寺字関屋,62-1,,40.203172,141.299169,,,,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,,,,
35246,,岩手県一戸町,鳥海小学校,,,35246,,岩手県二戸郡一戸町中里字中前田15,岩手県,二戸郡一戸町,中里字中前田,15,,40.321329,141.262817,,,,,,,,,,,岩手県一戸町,,,,,,,,,,,,2023年05月現在,,,,
