全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
032077,1,岩手県久慈市,久慈市役所,クジシヤクショ,,032077,,岩手県久慈市川崎町１番１号,,,,,,40.19047166,141.7755862,,,１階市民ホール,0194-52-2111,,,,,,,久慈市,月火水木金,8:30,17:15,祝日及び12/29から１/３は利用不可,有,https://www.city.kuji.lg.jp,,,,,,
032077,2,岩手県久慈市,中央市民センター,チュウオウシミンセンター,,032077,,岩手県久慈市新中の橋５-28-４,,,,,,40.1947068,141.7701132,,,２階　ロビー,0194-53-4606,551,,,,,,久慈市,月火水木金土日,9:00,22:00,月曜日の17:00以降及び祝日は利用不可。また、12/29~1/3は終日利用不可。,有,,,,,,,
032077,3,岩手県久慈市,中央市民センター　久慈湊分館,チュウオウシミンセンタークジミナトブンカン,,032077,,岩手県久慈市湊町19-８-１,,,,,,40.20181574,141.7908437,,,１階　入口,0194-53-4606,551,,,,,,久慈市,火水木金土日,9:00,22:00,上記の期日及び貸館利用がない日並びに貸館がない時間帯は利用不可。,有,,,,,,,
032077,4,岩手県久慈市,中央市民センター　枝成沢分館,チュウオウシミンセンターエダナリサワブンカン,,032077,,岩手県久慈市枝成沢18-１-２,,,,,,40.20551575,141.7089621,,,講堂　入口,0194-53-4606,551,,,,,,久慈市,火水木金土日,9:00,22:00,上記の期日及び貸館利用がない日並びに貸館がない時間帯は利用不可。,有,,,,,,,
032077,5,岩手県久慈市,長内市民センター,オサナイシミンセンター,,032077,,岩手県久慈市長内町21-63-2,,,,,,40.18424879,141.7721811,,,1階　事務室,0194-52-7400,,,,,,,久慈市,月火水木金土日,9:00,22:00,月曜日の17:00以降及び祝日は利用不可。また、12/29?1/3は終日利用不可。,有,,,,,,,
032077,6,岩手県久慈市,小久慈市民センター,コクジシミンセンター,,032077,,岩手県久慈市小久慈町21-47-14,,,,,,40.17033498,141.7452063,,,1階　事務室,0194-59-3051,,,,,,,久慈市,月火水木金土日,9:00,22:00,月曜日の17:00以降及び祝日は利用不可。また、12/29?1/3は終日利用不可。,有,,,,,,,
032077,7,岩手県久慈市,夏井市民センター,ナツイシミンセンター,,032077,,岩手県久慈市夏井町早坂8-1-1,,,,,,40.21657262,141.7737796,,,１階　事務室,0194-53-2581,,,,,,,久慈市,月火水木金土日,8:30,22:00,月曜日の17:15以降は利用不可。また、祝日、12/29～1/3は終日利用不可。,無,,,,,,,
032077,8,岩手県久慈市,宇部市民センター,ウベシミンセンター,,032077,,岩手県久慈市宇部町5-41,,,,,,40.13108997,141.7874141,,,1階　事務室,0194-56-2706,,,,,,,久慈市,月火水木金土日,9:00,22:00,月曜日の17:00以降及び祝日は利用不可。また、12/29～1/3は終日利用不可。,有,,,,,,,
032077,9,岩手県久慈市,侍浜市民センター,サムライハマシミンセンター,,032077,,岩手県久慈市侍浜町8-3-2,,,,,,40.26875924,141.796325,,,事務室,0194-58-2110,,,,,,,久慈市,月火水木金土日,8:30,22:00,月曜日の17：15以降、祝日、12/29～1/3は終日利用不可。,有,,,,,,,
032077,10,岩手県久慈市,山根市民センター,ヤマネシミンセンター,,032077,,岩手県久慈市山根町下戸鎖4-38-1,,,,,,40.08478026,141.7068926,,,事務室,0194-57-2055,,,,,,,久慈市,月火水木金土日,8:30,22:00,月曜日の17：15以降、祝日、12/29～1/3は終日利用不可。,無,,,,,,,
