都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考,"注1：利用可能曜日が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の利用可能曜日に従う」等理由を記載
注2：開始時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の開始時間に従う」等理由を記載
注3：終了時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の終了時間に従う」等理由を記載"
032131,1,岩手県,二戸市,二戸市役所,ニノヘシヤクショ,岩手県二戸市福岡字川又47,,40.271200,141.304643,"更新中
４階生涯学習課内",(0195)23-3111,,8000020032131,二戸市,月火水木金,8:30,17:15,祝日、年末年始は終日利用不可。,"無
有",https://www.city.ninohe.lg.jp/,,
032131,2,岩手県,二戸市,二戸中央コミュニティセンター,ニノヘチュウオウコミュニティセンター,岩手県二戸市石切所字枋ノ木35,,40.258797,141.287256,事務室前公衆電話の横,(0195)23-3990,,8000020032131,二戸市,月火水木金土日,9:00,22:00,年末年始（12/29～1/3）は終日利用不可。,有(未就学児用キー）,https://www.city.ninohe.lg.jp/,,
032131,3,岩手県,二戸市,金田一コミュニティセンター,キンタイチコミュニティセンター,岩手県二戸市金田一字馬場80,,40.317673,141.308737,事務室前の廊下,(0195)27-2114,,8000020032131,二戸市,日月火水木金土,8:30,22:00,年末年始は終日利用不可,有,https://www.city.ninohe.lg.jp/,,
032131,4,岩手県,二戸市,浄法寺カシオペアセンター大嶺分館,ジョウボウジカシオペアセンター　オオミネブンカン,岩手県二戸市浄法寺町駒ケ嶺36,,40.159880,141.118326,1回玄関ホール,,,8000020032131,二戸市,全日,9:00,17:00,年末年始は休館,無,,,
032131,5,岩手県,二戸市,二戸市シビックセンター,ニノヘシシビックセンター,岩手県二戸市石切所字荷渡6-2,,40.268922,141.294807,1階市民ホールガレリア,(0195)25-5411,,8000020032131,二戸市,月火水木金土日,9:00,17:00,毎月第４月曜日、祝日等の翌日、年末年始は休館,有,https://www.nbsk.or.jp/civic/,,
032131,6,岩手県,二戸市,二戸市立福岡小学校,ニノヘシリツフクオカショウガッコウ,岩手県二戸市福岡字下川又15,,40.271835,141.303659,校舎（昇降口）,0195-23-6155,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-hukuokaes-ninohe.edumap.jp/,,
032131,7,岩手県,二戸市,二戸市立仁左平小学校,ニノヘシリツニサタイショウガッコウ,岩手県二戸市仁左平字下構55,,40.306573,141.315424,校舎（昇降口）,(0195)23-7595,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-nsti-ninohe.edumap.jp/,,
032131,8,岩手県,二戸市,二戸市立中央小学校,ニノヘシリツチュウオウショウガッコウ,岩手県二戸市堀野字下タ川原71-1,,40.289787,141.293692,校舎（昇降口）,(0195)23-4711,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-tyuoues-ninohe.edumap.jp/,,
032131,9,岩手県,二戸市,二戸市立二戸西小学校,ニノヘシリツニノヘニシショウガッコウ,岩手県二戸市上斗米字梅木9-1,,40.273046,141.211801,校舎（昇降口）,(0195)28-2114,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-nnhnses-ninohe.edumap.jp/,,
032131,10,岩手県,二戸市,二戸市立石切所小学校,ニノヘシリツイシキリドコロショウガッコウ,岩手県二戸市石切所字田尻平4,,40.257841,141.288199,校舎（昇降口）,(0195)23-2881,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-ishikiries-ninohe.edumap.jp/,,
032131,11,岩手県,二戸市,二戸市立御返地小学校,ニノヘシリツゴヘンチショウガッコウ,岩手県二戸市安比字上大簗平7-2,,40.235152,141.220000,校舎（昇降口）,(0195)26-2114,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-ghnt-ninohe.edumap.jp/,,
032131,12,岩手県,二戸市,二戸市立金田一小学校,ニノヘシリツキンダイチショウガッコウ,岩手県二戸市金田一字野月19-2,,40.316203,141.302698,校舎（昇降口）,(0195)27-2201,,8000020032131,二戸市,月火水木金土日,9:00,22:00,学校長及び教育長の許可したものに限る,有,https://edu-kintaichies-ninohe.edumap.jp/,,
