都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,利用可能日時特記事項,小児対応設備の有無,URL,備考
032069,0000000001,岩手県,北上市,岩手県企業局県南管理施設,イワテケンキギョウキョクケンナンカンリシセツ,北上市北工業団地５番８号,,39.335548,141.131653,２階事務所,0197-66-3233,,施設就業時間等に準ずる,,,
032069,0000000002,岩手県,北上市,岩手県農業研究センター,イワテケンノウギョウケンキュウセンター,北上市成田20地割１番地,,39.351524,141.104294,"本部１階正面入口
博物館１階正面入口",0197-68-2331,,施設就業時間等に準ずる,,,
032069,0000000003,岩手県,北上市,スリーエムジャパンプロダクツ㈱岩手事業所,スリーエムジャパンプロダクツカブシキガイシャイワテジギョウショ,北上市北工業団３番17号,,39.334106,141.126282,１階従業員玄関,0197-66-4500,,施設就業時間等に準ずる,,,
032069,0000000004,岩手県,北上市,(株)ジャパンセミコンダクター,ジャパンセミコンダクター,北上市北工業団地６番６号,,39.339302,141.12558,"西口１階警備室
201棟１階ロビー
103棟１階東側通路
105B棟１階事務所
１階体育館ロビー
301棟２階事務所
106棟３階エレベーターホール",0197-71-3003,,施設就業時間等に準ずる,,,
032069,0000000005,岩手県,北上市,岩手三菱ふそう自動車販売㈱花北営業所,イワテミツビシフソウジドウシャハンバイカブシキガイシャハナキタエイギョウショ,北上市飯豊23地割130番地２,,39.345901,141.108475,１階事務室,0197-68-2226,,施設就業時間等に準ずる,,,
032069,0000000006,岩手県,北上市,㈱薄衣電解工業　北上工場,カブシキガイシャウスイデンカイコウギョウ　キタカミコウジョウ,北上市北工業団地１番10号,,39.329994,141.12114,１階総務課事務所,0197-66-6161,,施設就業時間等に準ずる,,,
032069,0000000007,岩手県,北上市,㈱後藤製作所　東北工場,カブシキガイシャゴトウセイサクショ　トウホクコウジョウ,北上市北工業団地１番17号,,39.332073,141.123062,第一工場１階ロビー,0197-66-6051,,施設就業時間等に準ずる,,,
032069,0000000008,岩手県,北上市,㈱サトー北上事業所,サトーキタカミジギョウショ,北上市北工業団地１番25号,,39.335079,141.122406,受付１階守衛室,0197-66-4358,,施設就業時間等に準ずる,,,
032069,0000000009,岩手県,北上市,シチズン時計マニュファクチャリング㈱東北北上工場,シチズントケイマニュファクチャリングカブシキガイシャトウホクキタカミコウジョウ,北上市北工業団地２番25号,,39.334629,141.127243,１号棟２階受付,0197-66-2301,,施設就業時間等に準ずる,,,
032069,0000000010,岩手県,北上市,しみず斎園,シミズサイエン,北上市北工業団地５番36号,,39.338135,141.134598,１階待合ホール,0197-66-2725,,施設就業時間等に準ずる,,,
032069,0000000011,岩手県,北上市,東鋼スチールコード株式会社,トウコウスチールコードカブシキガイシャ,北上市北工業団地７番１号,,39.335377,141.122421,"作業長室
階作業場の作業長室",0197-66-2101,,施設就業時間等に準ずる,,,設置階不明
032069,0000000012,岩手県,北上市,北上市成田スポーツ交流館,キタカミシナリタスポーツコウリュウカン,北上市成田24地割23番地,,39.348206,141.114471,１階体育館,0197-66-6002,,施設就業時間等に準ずる,,,
032069,0000000013,岩手県,北上市,花北興産有限会社　花北モータースクール,ハナキタコウサンユウゲンガイシャ　ハナキタモータースクール,北上市飯豊24地割75番地2,,39.344528,141.106613,１階事務室,0197-68-2523,,施設就業時間等に準ずる,,,
