全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考
032158,1001,岩手県奥州市,奥州市役所,オウシュウシヤクショ,,032158,,岩手県奥州市水沢大手町1-1,岩手県,奥州市,水沢大手町,1-1,,39.144512,141.13921,,,1階市民ホール,(0197)24-2111,,,,,,,,,,,,,,,,,,,
032158,1002,岩手県奥州市,水沢保健センター,ミズサワホケンセンター,,032158,,岩手県奥州市水沢大手町3-2,岩手県,奥州市,水沢大手町,3-2,,39.146106,141.139785,,,正面玄関,(0197)23-4511,,,,,,,,,,,,,,,,,,,
032158,1003,岩手県奥州市,奥州市立水沢小学校,オウシュウシリツミズサワショウガッコウ,,032158,,岩手県奥州市水沢字堀ノ内4-2,岩手県,奥州市,水沢字堀ノ内,4-2,,39.14601,141.133014,,,1階保健室前,(0197)24-7401,,,,,,,,,,,,,,,,,,,
032158,1004,岩手県奥州市,奥州市立水沢南小学校,オウシュウシリツミズサワミナミショウガッコウ,,032158,,岩手県奥州市水沢福吉町3-24,岩手県,奥州市,水沢福吉町,3-24,,39.131705,141.131803,,,職員玄関,(0197)24-2470,,,,,,,,,,,,,,,,,,,
032158,1005,岩手県奥州市,奥州市立常盤小学校,オウシュウシリツトキワショウガッコウ,,032158,,岩手県奥州市水沢神明町1-1-5,岩手県,奥州市,水沢神明町,1-1-5,,39.139731,141.157157,,,児童昇降口,(0197)23-2640,,,,,,,,,,,,,,,,,,,
032158,1006,岩手県奥州市,奥州市立佐倉河小学校,オウシュウシリツサクラカワショウガッコウ,,032158,,岩手県奥州市水沢佐倉河字曽根7,岩手県,奥州市,水沢佐倉河字曽根,7,,39.165496,141.128372,,,職員玄関,(0197)23-2969,,,,,,,,,,,,,,,,,,,
032158,1007,岩手県奥州市,奥州市立真城小学校,オウシュウシリツシンジョウショウガッコウ,,032158,,岩手県奥州市水沢真城字高田44-1,岩手県,奥州市,水沢真城字高田,44-1,,39.114139,141.145701,,,1階保健室前,(0197)24-7405,,,,,,,,,,,,,,,,,,,
032158,1008,岩手県奥州市,奥州市立姉体小学校,オウシュウシリツアネタイショウガッコウ,,032158,,岩手県奥州市水沢姉体町字京原70,岩手県,奥州市,水沢姉体町字京原,70,,39.106947,141.166106,,,児童昇降口,(0197)26-2033,,,,,,,,,,,,,,,,,,,
032158,1009,岩手県奥州市,奥州市立羽田小学校,オウシュウシリツハダショウガッコウ,,032158,,岩手県奥州市水沢羽田町字洗田362,岩手県,奥州市,水沢羽田町字洗田,362,,39.134965,141.190782,,,職員玄関,(0197)24-7403,,,,,,,,,,,,,,,,,,,
032158,1011,岩手県奥州市,奥州市立水沢中学校,オウシュウシリツミズサワチュウガッコウ,,032158,,岩手県奥州市水沢字南丑沢10-1,岩手県,奥州市,水沢字南丑沢,10-1,,39.153378,141.136942,,,職員・来賓玄関/保健室,(0197)24-4651,,,,,,,,,,,,,,,,,,,
