都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考,"注1：利用可能曜日が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の利用可能曜日に従う」等理由を記載
注2：開始時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の開始時間に従う」等理由を記載
注3：終了時間が定まっている施設に設置されている場合、区分：◎。定まっていない施設に設置されている場合、空欄とし、「利用可能日時特記事項」に「○○小学校の終了時間に従う」等理由を記載"
32026,1,岩手県,宮古市,宮古市役所本庁舎,ミヤコシヤクショホンチョウシャ,岩手県宮古市宮町1-1-30,,39.639605,141.946524,4階東側トイレ前,(0193)62-2111,,6.00002E+12,宮古市,月火水木金,8:30,17:15,祝日、年末年始は休み,無,,,
32026,2,岩手県,宮古市,市民交流センター,シミンコウリュウセンター,岩手県宮古市宮町1-1-30,,39.639605,141.946524,事務所内,63-4166,,,,,,,,,,,
32026,3,岩手県,宮古市,田老総合事務所,タロウソウゴウジムショ,岩手県宮古市田老1-3-4,,39.735506,141.967574,1階事務室内,87-2111,,,,,,,,,,,
32026,4,岩手県,宮古市,新里総合事務所,ニイサトソウゴウジムショ,岩手県宮古市茂市2-112-1,,39.626579,141.790699,地域振興係カウンター横,72-2111,,,,,,,,,,,
32026,5,岩手県,宮古市,川井総合事務所,カワイソウゴウジムショ,岩手県宮古市川井2-186-1,,39.599978,141.679462,正面入口付近,76-2111,,,,,,,,,,,
32026,6,岩手県,宮古市,宮古保健センター,ミヤコホケンセンター,岩手県宮古市宮町1-1-30,,39.63935,141.946492,事務室入口付近,64-0111,,,,,,,,,,,
32026,7,岩手県,宮古市,川井保健センター,カワイホケンセンター,岩手県宮古市川井2-165,,39.599524,141.679044,正面入口付近,76-2036,,,,,,,,,,,
32026,8,岩手県,宮古市,宮古市休日急患診療所,ミヤコシキュウジツキュウカンシンリョウジョ,岩手県宮古市西町1-6-2,,39.645645,141.943982,処置室内可動式ワゴン上,64-0113,,,,,,,,,,,
32026,9,岩手県,宮古市,宮古市国民健康保険田老診療所,ミヤコシコクミンケンコウホケンタロウシンリョウジョ,岩手県宮古市田老三王1-1-3,,39.740091,141.976442,正面入口付近トイレ前,65-7071,,,,,,,,,,,
32026,10,岩手県,宮古市,宮古市国民健康保険新里診療所,ミヤコシコクミンケンコウホケンニイサトシンリョウジョ,岩手県宮古市茂市1-116-9,,39.628627,141.786605,内科待合室前,72-2016,,,,,,,,,,,
32026,11,岩手県,宮古市,宮古市国民健康保険川井診療所,ミヤコシコクミンケンコウホケンカワイシンリョウジョ,岩手県宮古市川井2-169-5,,39.598614,141.678899,診察室入口前,76-2015,,,,,,,,,,,
32026,12,岩手県,宮古市,宮古市上下水道部,ミヤコシジョウゲスイドウブ,岩手県宮古市長町1-2-1,,39.638226,141.930876,正面入口付近,63-1115,,,,,,,,,,,
32026,13,岩手県,宮古市,宮古市立図書館,ミヤコシリツトショカン,岩手県宮古市宮町3-2-2,,39.639911,141.942984,正面入口付近,62-2414,,,,,,,,,,,
32026,14,岩手県,宮古市,中央公民館分館,チュウオウコウミンカンブンカン,岩手県宮古市保久田7-22,,39.644621,141.947941,正面入口付近火災報知器下,63-4700,,,,,,,,,,,
32026,15,岩手県,宮古市,山口公民館,ヤマグチコウミンカン,岩手県宮古市山口1-3-14,,39.650312,141.936858,事務室入口前,62-3670,,,,,,,,,,,
32026,16,岩手県,宮古市,田老公民館,タロウコウミンカン,岩手県宮古市田老字館が森3,,39.737919,141.969463,事務室内,87-2976,,,,,,,,,,,
32026,17,岩手県,宮古市,鍬ヶ崎公民館,クワガサキコウミンカン,岩手県宮古市港町3-1,,39.648359,141.969055,正面入口付近,62-3145,,,,,,,,,,,
32026,18,岩手県,宮古市,津軽石公民館,ツガルイシコウミンカン,岩手県宮古市津軽石4-40-6,,39.581917,141.935189,正面入口付近,67-2111,,,,,,,,,,,
32026,19,岩手県,宮古市,新里生涯学習センター,ニイサトショウガイガクシュウセンター,岩手県宮古市茂市5-2,,39.616163,141.799438,事務室内,72-2019,,,,,,,,,,,
32026,20,岩手県,宮古市,高浜地区センター,タカハマチクセンター,岩手県宮古市高浜2-6-5,,39.605007,141.9535,正面入口付近,,,,,,,,,,,,
32026,21,岩手県,宮古市,宮古市民総合体育館（シーアリーナ）,ミヤコシミンソウゴウタイイクカン（シーアリーナ）,岩手県宮古市小山田2-1-1,,39.633591,141.942657,体育館棟2階トレーニングルーム内,62-6000,,,,,,,,,,,
32026,22,岩手県,宮古市,姉ヶ崎サン・スポーツランド,アネガサキサン・スポーツランド,岩手県宮古市崎山3-75-1,,39.685511,141.98061,事務室入口前,63-6323,,,,,,,,,,,
32026,23,岩手県,宮古市,千徳地区体育館,セントクチクタイイクカン,岩手県宮古市千徳町5-38,,39.633545,141.919407,正面入口付近,63-5402,,,,,,,,,,,
32026,24,岩手県,宮古市,宮古市野外活動センター,ミヤコシヤガイカツドウセンター,岩手県宮古市田代15-232,,39.694597,141.87367,事務室内,64-8054,,,,,,,,,,,
32026,25,岩手県,宮古市,へいがわ老木公園,ヘイガワロウキコウエン,岩手県宮古市老木11-16-15,,39.628497,141.885037,クラブハウス内,69-9040,,,,,,,,,,,
32026,26,岩手県,宮古市,新里健康増進施設（トレーニングセンター）,ニイサトケンコウゾウシンシセツ（トレーニングセンター）,岩手県宮古市刈屋1-7-3,,39.635067,141.776205,体育館出入口付近,72-2669,,,,,,,,,,,
32026,27,岩手県,宮古市,藤の川海水浴場,フジノカワカイスイヨクジョウ,岩手県宮古市藤の川15,,39.611724,141.962559,監視員室,,,,,,,,,,,,
32026,28,岩手県,宮古市,リアスハーバー宮古（管理棟）,リアスハーバーミヤコ（カセツテイコナイ）,岩手県宮古市神林9-1,,39.61822,141.965874,管理棟正面入口付近,71-1120,,,,,,,,,,,
32026,29,岩手県,宮古市,宮古運動公園陸上競技場,ミヤコウンドウコウエンリクジョウキョウギジョウ,岩手県宮古市赤前8-10-2,,39.585107,141.949325,事務室正面入口付近,67-9811,,,,,,,,,,,
32026,30,岩手県,宮古市,宮古運動公園野球場,ミヤコウンドウコウエンヤキュウジョウ,岩手県宮古市赤前8-10-2,,39.585555,141.951756,1階医務室内,67-4611,,,,,,,,,,,
32026,31,岩手県,宮古市,宮古市田老野球場,ミヤコシタロウヤキュウジョウ,岩手県宮古市田老2-3-1,,39.736443,141.971458,本部室,87-2976,,,,,,,,,,,
32026,32,岩手県,宮古市,宮古駅前総合観光案内所,ミヤコエキソウゴウカンコウアンナイジョ,岩手県宮古市宮町1-1-80,,39.640242,141.946911,正面入口付近,62-3534,,,,,,,,,,,
32026,33,岩手県,宮古市,浄土ヶ浜レストハウス,ジョウドガハマレストハウス,岩手県宮古市日立浜町32,,39.652212,141.977681,1階事務室内,62-1179,,,,,,,,,,,
32026,34,岩手県,宮古市,シートピアなあど,シートピアナアド,岩手県宮古市臨港通1-20,,39.639081,141.970096,正面入口付近,71-3100,,,,,,,,,,,
32026,35,岩手県,宮古市,道の駅やまびこ館,ミチノエキヤマビコカン,岩手県宮古市川内8-2,,39.6489,141.589329,売店レジ下,85-5011,,,,,,,,,,,
32026,36,岩手県,宮古市,道の駅区界高原（ビーフビレッジ）,ミチノエキクザカイコウゲン（ビーフビレッジ）,岩手県宮古市区界2-434-2,,39.651262,141.353762,レストラン内,77-2266,,,,,,,,,,,
32026,37,岩手県,宮古市,道の駅たろう,ミチノエキタロウ,岩手県宮古市田老3-5-1,,39.737643,141.971844,とれたろう入口付近,,,,,,,,,,,,
32026,38,岩手県,宮古市,グリーンピア三陸みやこ,グリーンピアサンリクミヤコ,岩手県宮古市田老字向新田148,,39.791929,141.971791,2階フロント,87-5111,,,,,,,,,,,
32026,40,岩手県,宮古市,湯ったり館,ユッタリカン,岩手県宮古市茂市8-53,,39.616241,141.793499,正面入口付近,72-3800,,,,,,,,,,,
32026,41,岩手県,宮古市,安庭山荘,アテイサンソウ,岩手県宮古市和井内14-1-76,,39.704845,141.661309,大広間内,73-2216,,,,,,,,,,,
32026,42,岩手県,宮古市,宮古市民文化会館,ミヤコシミンブンカカイカン,岩手県宮古市磯鶏沖2-22,,39.628348,141.963841,大ホールロビー,63-2511,,,,,,,,,,,
32026,43,岩手県,宮古市,崎山貝塚縄文の森公園複合施設,サキヤマカイヅカジョウモンノモリコウエンフクゴウシセツ,岩手県宮古市崎山1-16-1,,39.674496,141.959673,ミュージアム入口付近,65-7526,,,,,,,,,,,
