全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,画像1,画像1_ライセンス,画像2,画像2_ライセンス,外部利用不可,備考,,
034029,,岩手県西磐井郡平泉町,平泉町役場,ヒライズミチョウヤクバ,,034029,,岩手県西磐井郡平泉町平泉字志羅山45番地2,岩手県,西磐井郡平泉町,平泉字志羅山,45番地2,,38.986657629487,141.114005885196,,,正面入口,0191-46-2111,,,,,029-4192,8000020034029 ,,全日,終日,終日,,,,,,,,,,,
034029,,岩手県西磐井郡平泉町,一関市消防本部一関西消防署平泉分署,イチノセキシショウボウホンブイチノセキニシショウボウショヒライズミブンショ,,034029,,岩手県西磐井郡平泉町平泉字鈴沢66番地1,岩手県,西磐井郡平泉町,平泉字鈴沢,66番地1,,38.990850196987,141.114706961257,,,事務室内,0191-46-0119,,,,,029-4102,,,全日,終日,終日,,,,,,,,,,,
034029,,岩手県西磐井郡平泉町,平泉町健康福祉交流館悠久の湯平泉温泉,ヒライズミチョウケンコウフクシコウリュウカンユウキュウノユヒライズミオンセン,,034029,,岩手県西磐井郡平泉町平泉字大沢1-1,岩手県,西磐井郡平泉町,平泉字大沢,1-1,,38.990942,141.1086648,,,受付,0191-34-1300,,,,,,,,月水木金土日,10:00,21:00,火曜日は休館日のため利用不可。ただし火曜日が祝日等の場合は営業日となり、その翌日以降の最も休日に近い平日が休館日となるため注意。,,,,,,,,,,
034029,,岩手県西磐井郡平泉町,平泉町保健センター,ﾋﾗｲｽﾞﾐﾁｮｳﾎｹﾝｾﾝﾀｰ,,034029,,岩手県西磐井郡平泉町平泉字志羅山45番地2,岩手県,西磐井郡平泉町,平泉字志羅山,45番地2,,38.987097,141.114018,,,1階正面玄関," 	
(0191)46-5571",,,,,,,,月火水木金,8:30,17:15,,,https://www.town.hiraizumi.iwate.jp/,,,,,,,,
034029,,岩手県西磐井郡平泉町,平泉保育所,ヒライズミホイクショ,,034029,,岩手県西磐井郡平泉町平泉字倉町152,岩手県,西磐井郡平泉町,平泉字倉町,152,,38.986027,141.110021,,,職員室,(0191)46-2767,,,,,,,,月火水木金土,07:30,18:30,年末年始（12/29から1/3）は利用不可,,,,,,,,,,
034029,,岩手県西磐井郡平泉町,長島保育所,ナガシマホイクショ,,034029,,岩手県西磐井郡平泉町長島字砂子沢171-1,岩手県,西磐井郡平泉町,長島字砂子沢,171-1,,38.996384,141.144150,,,職員室,(0191)46-2007,,,,,,,,月火水木金土,07:30,18:30,年末年始（12/29から1/3）は利用不可,,,,,,,,,,
034029,,岩手県西磐井郡平泉町,すぎのこクラブ,スギノコクラブ,,034029,,岩手県西磐井郡平泉町平泉字倉町163-1,岩手県,西磐井郡平泉町,平泉字倉町,163-1,,38.984972,141.109013,,,事務室,(0191)46-2333,,,,,,,,月火水木金土,12:00,18:30,"年末年始（12/29から1/3）は利用不可
その他、休所日は利用不可",,,,,,,,,,
034029,,岩手県西磐井郡平泉町,道の駅平泉,ミチノエキヒライズミ,,034029,,岩手県西磐井郡平泉町平泉伽羅楽112番地2,岩手県,西磐井郡平泉町,平泉字伽羅楽,112番地2,,38.991779,141.121520,,,エントランスホール,0191-48-4795,,,,,029-4102,,,全日,終日,終日,,,,,,,,,,,
034029,,岩手県西磐井郡平泉町,平泉町志業シェアハウス,ヒライズミチョウシギョウシェアハウス,,034029,,岩手県西磐井郡平泉町平泉字志羅山139番地8,岩手県,西磐井郡平泉町,平泉字志羅山,139番地8,,38.990078,141.113693,,,玄関入口カウンター付近,0191-46-2883,,,,,029-4102,,,不定期,,,事業実施期間において、施設管理者がいる場合に開館,,,,,,,,,,
034029,,岩手県西磐井郡平泉町,宿泊交流体験施設「浄土の館」,シュクハクコウリュウタイケンシセツ「ジョウドノタチ」,,034029,,岩手県西磐井郡平泉町平泉字毛越248番地,岩手県,西磐井郡平泉町,平泉字毛越,248番地,,38.986202,141.105988,,,管理人室,0191-48-3451,,,,,029-4102,,,全日,9:00,21:00,,,,,,,,,,,
