,都道府県コード又は市区町村コード,都道府県名,市区町村名,名称,名称_カナ,住所,方書,設置位置,備考（設置台数）,経度,緯度
1,32018,岩手県,盛岡市,市役所本館1階・5階　市役所本館5階（貸出用）,シヤクショホンカン,岩手県盛岡市内丸12-2,,,4,141.1542578,39.70171006
2,32018,岩手県,盛岡市,若園町分庁舎,ワカゾノチョウブンチョウシャ,岩手県盛岡市若園町2-18,,,1,141.1583949,39.70327553
3,32018,岩手県,盛岡市,内丸分庁舎,ウチマルブンチョウシャ,岩手県盛岡市内丸3-46,,,1,141.1535679,39.70166852
4,32018,岩手県,盛岡市,都南総合支所,トナンソウゴウシショ,岩手県盛岡市津志田14-37-2,,,1,141.1581859,39.65439552
5,32018,岩手県,盛岡市,玉山総合事務所,タマヤマソウゴウジムショ,岩手県盛岡市渋民字泉田360,,,1,141.1671139,39.84671032
6,32018,岩手県,盛岡市,上下水道局本庁舎,ジョウゲスイドウキョクホンチョウシャ,岩手県盛岡市愛宕町6-8,,,1,141.1578075,39.70857359
7,32018,岩手県,盛岡市,盛岡市立病院1階・4階・6階,モリオカシリツビョウイン,岩手県盛岡市本宮5-15-1,,,3,141.1244857,39.68934697
8,32018,岩手県,盛岡市,盛岡市保健所1階・6階,モリオカシホケンジョ,岩手県盛岡市神明町3-29,,,2,141.1584017,39.7014914
9,32018,岩手県,盛岡市,高松地区保健センター,タカマツチクホケンセンター,岩手県盛岡市上田字毛無森2-11,,,1,141.1451853,39.73022864
10,32018,岩手県,盛岡市,盛岡市余熱利用健康増進センタ－（ゆぴあす）,モリオカシヨネツリヨウケンコウゾウシンセンター（ユピアス）,岩手県盛岡市上田字小鳥沢148-103,,,1,141.1821341,39.76465955
11,32018,岩手県,盛岡市,盛岡市立総合プ－ル,モリオカシリツソウゴウプール,岩手県盛岡市本宮5-3-1,,,1,141.1226922,39.69038068
12,32018,岩手県,盛岡市,盛岡タカヤアリーナ（盛岡市総合アリ－ナ）,モリオカタカヤアリーナ（モリオカシそうごうアリーナ）,岩手県盛岡市本宮5-4-1,,,1,141.12044,39.69088652
13,32018,岩手県,盛岡市,盛岡市渋民運動公園,モリオカシシブタミウンドウコウエン,岩手県盛岡市川崎字川崎1-1,,,2,141.1654963,39.85027961
14,32018,岩手県,盛岡市,盛岡体育館,モリオカタイイクカン,岩手県盛岡市上田3-17-60,,,1,141.1368018,39.7186933
15,32018,岩手県,盛岡市,盛岡ふれあい覆馬場プラザ,モリオカフレアイフクバジョウプラザ,岩手県盛岡市青山2-6-8,,,1,141.1136192,39.72499729
16,32018,岩手県,盛岡市,盛岡市動物公園,モリオカシドウブツコウエン,岩手県盛岡市新庄字下八木田60-18,,,1,141.1943846,39.69702768
17,32018,岩手県,盛岡市,盛岡市民文化ホ－ル,モリオカシミンブンカホール,岩手県盛岡市盛岡駅西通2-9-1,,,1,141.1336291,39.70117851
18,32018,岩手県,盛岡市,盛岡劇場・河南公民館,モリオカゲキジョウ・カナンコウミンカン,岩手県盛岡市松尾町3-1,,,1,141.1585184,39.69617827
19,32018,岩手県,盛岡市,姫神ホール（渋民文化会館）,ヒメカミホール（シブタミブンカカイカン）,岩手県盛岡市渋民字鶴塚55,,,1,141.1695261,39.84896719
20,32018,岩手県,盛岡市,中央公民館,チュウオウコウミンカン,岩手県盛岡市愛宕町14-1,,,1,141.1622073,39.71021543
21,32018,岩手県,盛岡市,上田公民館,ウエダコウミンカン,岩手県盛岡市上田4-1-1,,,1,141.1381628,39.72037253
22,32018,岩手県,盛岡市,西部公民館,セイブコウミンカン,岩手県盛岡市南青山町6-1,,,1,141.1159988,39.71842735
23,32018,岩手県,盛岡市,松園地区公民館(本館・別館),マツゾノチクコウミンカン（ホンカン・ベッカン）,岩手県盛岡市東松園2-5-3,,,2,141.1642174,39.75598766
24,32018,岩手県,盛岡市,見前地区公民館,ミルマエチクコウミンカン,岩手県盛岡市津志田中央2-9-1,,,1,141.1564901,39.66174663
25,32018,岩手県,盛岡市,玉山地区公民館,タマヤマチクコウミンカン,岩手県盛岡市日戸字鷹高50-16,,,1,141.1934229,39.79434967
26,32018,岩手県,盛岡市,薮川地区公民館,ヤブカワチクコウミンカン,岩手県盛岡市薮川字外山27-7,,,1,141.3206853,39.7798109
27,32018,岩手県,盛岡市,盛岡市立太田テニスコート,モリオカシリツオオタテニスコート,岩手県盛岡市上太田穴口4-3,,,1,141.0550193,39.69014471
28,32018,岩手県,盛岡市,綱取スポーツセンター,ツナトリスポーツセンター,岩手県盛岡市浅岸字綱取34-251,,,1,141.2075936,39.71856991
29,32018,岩手県,盛岡市,盛岡市立武道館,モリオカシリツブドウカン,岩手県盛岡市住吉町3-12,,,1,141.1627084,39.70316159
30,32018,岩手県,盛岡市,都南図書館2階,トナントショカン,岩手県盛岡市永井24-90-2,,,1,141.1547893,39.65331429
31,32018,岩手県,盛岡市,盛岡市子ども科学館,モリオカシコドモカガクカン,岩手県盛岡市本宮字蛇屋敷13-1,,,1,141.1299698,39.69406756
32,32018,岩手県,盛岡市,盛岡市先人記念館,モリオカシセンジンキネンカン,岩手県盛岡市本宮字蛇屋敷2-2,,,1,141.1266523,39.69399313
33,32018,岩手県,盛岡市,原敬記念館,ハラケイキネンカン,岩手県盛岡市本宮4-38-25,,,1,141.1287998,39.68738369
34,32018,岩手県,盛岡市,盛岡市遺跡の学び館,モリオカシイセキノマナビカン,岩手県盛岡市本宮字荒屋敷13-1,,,1,141.1295824,39.69251395
35,32018,岩手県,盛岡市,もりおか歴史文化館,モリオカレキシブンカカン,岩手県盛岡市内丸1-50,,,1,141.1526057,39.7010139
36,32018,岩手県,盛岡市,青山地区活動センター・青山老人福祉センター・青山支所,アオヤマチクカツドウセンター・アオヤマロウジンフクシセンター・アオヤマシショ,岩手県盛岡市青山3-37-7,,,1,141.1107156,39.72801058
