都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
033022,0000000001,岩手県,葛巻町,葛巻町役場（くずま～る）,クズマキマチヤクバ（クズマ～ル）,岩手県岩手郡葛巻町葛巻16-1-1,,40.039817,141.436588,1階廊下、３階廊下、４階廊下、５階廊下,0195-66-2111,,,,月火水木金,08:30,17:15,土日祝日及び12/29から12/3まで利用不可。木曜日は19:00まで利用可能。,無,https://www.town.kuzumaki.iwate.jp,
033022,0000000002,岩手県,葛巻町,葛巻町公民館（くずま～る）,クズマキマチコウミンカン（クズマ～ル）,岩手県岩手郡葛巻町葛巻16-1-1,,40.039813,141.436245,2階廊下,0195-66-2111,,,,月火水木金土日,08:30,22:00,12/29から12/3まで利用不可,無,https://www.town.kuzumaki.iwate.jp,
033022,0000000003,岩手県,葛巻町,葛巻病院,クズマキビョウイン,岩手県岩手郡葛巻町葛巻16-1-1,,40.040109,141.438621,1階外来受付、3階病棟,0195-66-2311,,,,月火水木金土日,08:00,17:00,,有,https://kuzumaki-hp.jp,
033022,0000000004,岩手県,葛巻町,社会体育館,シャカイタイイクカン,岩手県岩手郡葛巻町葛巻8-33-2,,40.037916,141.447639,1階廊下,0195-66-3607,,,,月火水木金土日,09:00,22:00,第2・4火曜日は利用不可,無,,
033022,0000000005,岩手県,葛巻町,総合運動公園（野球場）,ソウゴウウンドウコウエン（ヤキュウジョウ）,岩手県岩手郡葛巻町葛巻5-170-2,,40.048885,141.460347,1階廊下,0195-66-3200,,,,月火水木金土日,08:30,21:00,11月から4月中旬まで利用不可,無,,
033022,0000000006,岩手県,葛巻町,消防団第１分団,ショウボウダンダイイチブンダン,岩手県岩手郡葛巻町葛巻6-142-1,,40.037515,141.456791,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000007,岩手県,葛巻町,消防団第１分団江刈川,ショウボウダンダイイチブンダンエカリガワ,岩手県岩手郡葛巻町江刈2-99,,40.059165,141.493224,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000008,岩手県,葛巻町,消防団第２分団,ショウボウダンダイニブンダン,岩手県岩手郡葛巻町葛巻13-38-10,,40.040169,141.442671,1階休憩所,,,,,※消防団活動時,,,,無,,
033022,0000000009,岩手県,葛巻町,葛巻町コミュニティ防災センター（消防団第３分団）,クズマキマチコミュニティボウサイセンター（ショウボウダンダイサンブンダン）,岩手県岩手郡葛巻町葛巻15-34-3,,40.041635,141.435451,1階休憩所,,,,,※消防団、自治会活動時,,,,無,,
033022,0000000010,岩手県,葛巻町,田代コミュニティセンター（消防団第４分団）,タシロコミュニティセンター（ショウボウダンダイヨンブンダン）,岩手県岩手郡葛巻町葛巻21-95-6,,40.045639,141.417861,1階休憩所,0195-66-3093,,,,※消防団、自治会活動時,,,,無,,
